step,loss,mean_reward,mean_quality,mean_cost_usd,mean_w_q,mean_w_c,policy_entropy_nats,val_quality,val_cost_usd,val_action_entropy_bits
1,-0.030405979603528976,0.15854135155677795,0.615234375,0.002411741064861417,0.4860328137874603,0.5139671564102173,2.395216464996338,nan,nan,nan
2,-0.03871569037437439,0.16194969415664673,0.603515625,0.002201712690293789,0.46239301562309265,0.537606954574585,2.3914265632629395,nan,nan,nan
3,-0.036336883902549744,0.18288792669773102,0.5810546875,0.0018531613750383258,0.5120824575424194,0.48791757225990295,2.3839797973632812,nan,nan,nan
4,-0.041218556463718414,0.19698871672153473,0.607421875,0.0016268367180600762,0.469405859708786,0.5305941104888916,2.3746328353881836,nan,nan,nan
5,-0.05032717436552048,0.18775837123394012,0.5615234375,0.0016627484001219273,0.5056201219558716,0.4943799078464508,2.3636109828948975,nan,nan,nan
6,-0.05798960477113724,0.17812012135982513,0.5634765625,0.0015707687707617879,0.47939473390579224,0.5206052660942078,2.3504674434661865,nan,nan,nan
7,-0.05365108698606491,0.2282768189907074,0.5654296875,0.0014487726148217916,0.5227032899856567,0.47729671001434326,2.333238124847412,nan,nan,nan
8,-0.08121569454669952,0.21186356246471405,0.594531238079071,0.0018822605488821864,0.5068680047988892,0.49313193559646606,2.3134727478027344,nan,nan,nan
9,-0.06623692065477371,0.24027128517627716,0.6332031488418579,0.0017652816604822874,0.5206319093704224,0.47936803102493286,2.2885444164276123,nan,nan,nan
10,-0.053652651607990265,0.21349658071994781,0.5445312261581421,0.0012355761136859655,0.5134102702140808,0.4865897297859192,2.2608582973480225,nan,nan,nan
11,-0.06863097101449966,0.23854763805866241,0.6044921875,0.0010932034347206354,0.4735449552536011,0.5264550447463989,2.2318990230560303,nan,nan,nan
12,-0.05639774724841118,0.26460811495780945,0.607421875,0.0008191898232325912,0.4942611753940582,0.5057388544082642,2.1962203979492188,nan,nan,nan
13,-0.07093513756990433,0.2604699730873108,0.607421875,0.0008020679233595729,0.49042603373527527,0.5095739960670471,2.160311698913574,nan,nan,nan
14,-0.03974180668592453,0.18912196159362793,0.54296875,0.0008982691215351224,0.4788689911365509,0.5211309790611267,2.119877338409424,nan,nan,nan
15,-0.07747534662485123,0.23343342542648315,0.580273449420929,0.0008626949274912477,0.49316924810409546,0.5068306922912598,2.0785560607910156,nan,nan,nan
16,-0.03368020057678223,0.27049127221107483,0.6298828125,0.0006670019356533885,0.4843484163284302,0.5156515836715698,2.0323565006256104,nan,nan,nan
17,-0.029702844098210335,0.2734443247318268,0.6259765625,0.0005892070475965738,0.49425965547561646,0.5057403445243835,1.9863343238830566,nan,nan,nan
18,-0.09145010262727737,0.28411638736724854,0.6259765625,0.0006454699323512614,0.51033616065979,0.48966383934020996,1.938798427581787,nan,nan,nan
19,-0.04178641736507416,0.25184354186058044,0.5703125,0.0005045175785198808,0.5035840272903442,0.496415913105011,1.8833928108215332,nan,nan,nan
20,-0.10612668097019196,0.24389338493347168,0.5736328363418579,0.0006452625384554267,0.5052817463874817,0.4947182536125183,1.8207907676696777,nan,nan,nan
21,-0.08402203768491745,0.2888248562812805,0.6318359375,0.0007309250067919493,0.525143027305603,0.474856972694397,1.741500973701477,nan,nan,nan
22,-0.08068159967660904,0.2625575065612793,0.6044921875,0.0005571394576691091,0.4847560524940491,0.5152439475059509,1.6620771884918213,nan,nan,nan
23,-0.06173231452703476,0.2875201106071472,0.636914074420929,0.000579011277295649,0.49476152658462524,0.5052385330200195,1.5564030408859253,nan,nan,nan
24,-0.062042057514190674,0.2401725947856903,0.619140625,0.0004903398221358657,0.4421055316925049,0.5578944683074951,1.4577330350875854,nan,nan,nan
25,-0.0730733573436737,0.2665939927101135,0.6048828363418579,0.000531036697793752,0.49333029985427856,0.5066697001457214,1.3451110124588013,nan,nan,nan
26,-0.08040609955787659,0.30227190256118774,0.61328125,0.000446048827143386,0.5328766703605652,0.4671233594417572,1.2285805940628052,nan,nan,nan
27,-0.09011030942201614,0.2537590563297272,0.6423828601837158,0.0005185737973079085,0.46165668964385986,0.5383433103561401,1.1181756258010864,nan,nan,nan
28,-0.05569063499569893,0.3037305474281311,0.6566406488418579,0.0005121101858094335,0.49187543988227844,0.5081245303153992,0.9920295476913452,nan,nan,nan
29,-0.027866115793585777,0.28002288937568665,0.6263672113418579,0.000479867187095806,0.47654595971107483,0.5234540104866028,0.8633235692977905,nan,nan,nan
30,-0.0016172458417713642,0.29045993089675903,0.646484375,0.00043402344454079866,0.4995964467525482,0.5004035234451294,0.7553592920303345,nan,nan,nan
31,-0.021018315106630325,0.29644036293029785,0.6533203125,0.0004120257799513638,0.5038401484489441,0.4961598813533783,0.698853611946106,nan,nan,nan
32,-0.023248836398124695,0.28988325595855713,0.66015625,0.0004360961029306054,0.4961510896682739,0.5038489103317261,0.6524347066879272,nan,nan,nan
33,0.013632334768772125,0.25624316930770874,0.6099609136581421,0.00044264609459787607,0.4820888042449951,0.5179111957550049,0.6187098026275635,nan,nan,nan
34,0.013970103114843369,0.2952861189842224,0.6748046875,0.0004402078047860414,0.4774419665336609,0.5225580334663391,0.6001800298690796,nan,nan,nan
35,0.022777238860726357,0.2893840968608856,0.645703136920929,0.00042637536535039544,0.4760843813419342,0.5239155888557434,0.5962570905685425,nan,nan,nan
36,-0.022662227973341942,0.2591772973537445,0.5953124761581421,0.000409842177759856,0.47890883684158325,0.5210911631584167,0.6187431812286377,nan,nan,nan
37,0.0012362981215119362,0.2843543589115143,0.6234375238418579,0.0004340789164416492,0.4979143738746643,0.5020856261253357,0.6344213485717773,nan,nan,nan
38,-0.03559969365596771,0.31248724460601807,0.6494140625,0.00045943516306579113,0.5121917724609375,0.4878082275390625,0.6595079898834229,nan,nan,nan
39,-0.003689246717840433,0.29732099175453186,0.65234375,0.0004752851673401892,0.4929361641407013,0.5070638656616211,0.6701408624649048,nan,nan,nan
40,-0.016560092568397522,0.2789691090583801,0.6142578125,0.00043858750723302364,0.49311548471450806,0.5068845152854919,0.6928086280822754,nan,nan,nan
41,-0.02581707388162613,0.2960307002067566,0.646484375,0.00044959920342080295,0.5007138848304749,0.49928611516952515,0.7068827152252197,nan,nan,nan
42,-0.005418633576482534,0.27864378690719604,0.6494140625,0.00043859920697286725,0.472720742225647,0.527279257774353,0.7232300043106079,nan,nan,nan
43,-0.018174845725297928,0.3318095803260803,0.681640625,0.00044303282629698515,0.5138174295425415,0.4861825704574585,0.7371863722801208,nan,nan,nan
44,-0.0062601906247437,0.31437286734580994,0.6226562261581421,0.00047686329344287515,0.5297531485557556,0.4702468514442444,0.7470327019691467,nan,nan,nan
45,-0.019232599064707756,0.25958001613616943,0.5703125,0.0004283781163394451,0.5022946000099182,0.4977053999900818,0.7520710825920105,nan,nan,nan
46,-0.015647539868950844,0.3365742266178131,0.6552734375,0.00044087186688557267,0.5208251476287842,0.4791748523712158,0.7507951855659485,nan,nan,nan
47,-0.0628645196557045,0.30400028824806213,0.6630859375,0.0005305945524014533,0.4998733401298523,0.5001266002655029,0.7455860376358032,nan,nan,nan
48,-0.00834910199046135,0.30468037724494934,0.665234386920929,0.0004507273552007973,0.4979407489299774,0.5020592212677002,0.7297312021255493,nan,nan,nan
49,0.008278677240014076,0.28184759616851807,0.623046875,0.0004263250157237053,0.4941251277923584,0.5058748722076416,0.7012923359870911,nan,nan,nan
50,-0.019483881071209908,0.3208877444267273,0.6572265625,0.0004026617098134011,0.5203374028205872,0.47966259717941284,0.6700728535652161,nan,nan,nan
51,-0.010831431485712528,0.2702157497406006,0.6064453125,0.0004444687510840595,0.47915953397750854,0.5208404660224915,0.6069995760917664,nan,nan,nan
52,-0.008407793939113617,0.28470122814178467,0.62890625,0.00044384686043486,0.48963046073913574,0.5103695392608643,0.5419231653213501,nan,nan,nan
53,-0.006108488887548447,0.28004634380340576,0.6591796875,0.0004247570177540183,0.4697476625442505,0.5302523374557495,0.47468000650405884,nan,nan,nan
54,0.0029216655530035496,0.28970804810523987,0.6572265625,0.0004138085641898215,0.49163249135017395,0.5083675384521484,0.41580066084861755,nan,nan,nan
55,0.00036435644142329693,0.3109293580055237,0.6468750238418579,0.00041784453787840903,0.5143367052078247,0.4856632947921753,0.3746427893638611,nan,nan,nan
56,0.0038985726423561573,0.2891579270362854,0.615234375,0.00040381914004683495,0.5167162418365479,0.48328375816345215,0.35106247663497925,nan,nan,nan
57,-0.02780383825302124,0.27953726053237915,0.638671875,0.00039320389623753726,0.48355841636657715,0.5164415836334229,0.3419170379638672,nan,nan,nan
58,-0.005069849081337452,0.2813178300857544,0.6162109375,0.0004258445405866951,0.5078448057174683,0.49215516448020935,0.3346449136734009,nan,nan,nan
59,0.016908977180719376,0.3281761407852173,0.6123046875,0.00039011327316984534,0.5412178039550781,0.45878222584724426,0.3329702615737915,nan,nan,nan
60,-0.011021922342479229,0.3003787398338318,0.630859375,0.00039698282489553094,0.5315304398536682,0.4684695601463318,0.34287479519844055,nan,nan,nan
