step,loss,mean_reward,mean_quality,mean_cost_usd,policy_entropy_nats,val_quality,val_cost_usd,val_action_entropy_bits
1,-0.022831987589597702,0.61328125,0.61328125,0.002610805444419384,2.3971986770629883,nan,nan,nan
2,-0.02430480159819126,0.587890625,0.587890625,0.002190053928643465,2.397233486175537,nan,nan,nan
3,-0.02288130670785904,0.5771484375,0.5771484375,0.002371497917920351,2.3972320556640625,nan,nan,nan
4,-0.025050632655620575,0.6494140625,0.6494140625,0.0029213496018201113,2.3972437381744385,nan,nan,nan
5,-0.025242280215024948,0.5751953125,0.5751953125,0.002227028366178274,2.397233724594116,nan,nan,nan
6,-0.025889435783028603,0.5894531011581421,0.5894531011581421,0.0021067503839731216,2.3972110748291016,nan,nan,nan
7,-0.02491113916039467,0.5966796875,0.5966796875,0.00237404927611351,2.397184133529663,nan,nan,nan
8,-0.025220872834324837,0.6021484136581421,0.6021484136581421,0.0022279503755271435,2.397145986557007,nan,nan,nan
9,-0.026075424626469612,0.610156238079071,0.610156238079071,0.0019083386287093163,2.397113800048828,nan,nan,nan
10,-0.025817174464464188,0.6412109136581421,0.6412109136581421,0.0021810969337821007,2.397043228149414,nan,nan,nan
11,-0.026658542454242706,0.623046875,0.623046875,0.002846976974979043,2.3969907760620117,nan,nan,nan
12,-0.027813205495476723,0.62109375,0.62109375,0.0021078905556350946,2.39688777923584,nan,nan,nan
13,-0.026657965034246445,0.6357421875,0.6357421875,0.0021921393927186728,2.3967769145965576,nan,nan,nan
14,-0.025689393281936646,0.6005859375,0.6005859375,0.002294891746714711,2.3966588973999023,nan,nan,nan
15,-0.027304166927933693,0.611328125,0.611328125,0.002252809004858136,2.396587371826172,nan,nan,nan
16,-0.02893662266433239,0.625,0.625,0.002288151066750288,2.3964359760284424,nan,nan,nan
17,-0.02994965948164463,0.6259765625,0.6259765625,0.002155822701752186,2.396256446838379,nan,nan,nan
18,-0.030385350808501244,0.642578125,0.642578125,0.002422170713543892,2.3960845470428467,nan,nan,nan
19,-0.02774573490023613,0.610156238079071,0.610156238079071,0.0025050656404346228,2.395850896835327,nan,nan,nan
20,-0.03445817902684212,0.5707031488418579,0.5707031488418579,0.0022108443081378937,2.395709991455078,nan,nan,nan
21,-0.033903300762176514,0.603515625,0.603515625,0.00287767150439322,2.395498752593994,nan,nan,nan
22,-0.028117431327700615,0.5859375,0.5859375,0.0021707378327846527,2.394965171813965,nan,nan,nan
23,-0.03351777791976929,0.602343738079071,0.602343738079071,0.0025708272587507963,2.394681930541992,nan,nan,nan
24,-0.033431269228458405,0.626953125,0.626953125,0.002606993308290839,2.3942010402679443,nan,nan,nan
25,-0.037046678364276886,0.623828113079071,0.623828113079071,0.0025107499677687883,2.393686532974243,nan,nan,nan
26,-0.03380168229341507,0.6435546875,0.6435546875,0.002581073436886072,2.393277645111084,nan,nan,nan
27,-0.03524678573012352,0.6263672113418579,0.6263672113418579,0.0026171577628701925,2.392850399017334,nan,nan,nan
28,-0.03846781700849533,0.62890625,0.62890625,0.002163937781006098,2.3927648067474365,nan,nan,nan
29,-0.03574153780937195,0.6318359375,0.6318359375,0.0029932581819593906,2.391558885574341,nan,nan,nan
30,-0.03202877566218376,0.6279296875,0.6279296875,0.0022875561844557524,2.391057014465332,nan,nan,nan
31,-0.0398683175444603,0.6490234136581421,0.6490234136581421,0.002670018235221505,2.3899314403533936,nan,nan,nan
32,-0.03605036437511444,0.61328125,0.61328125,0.0025234497152268887,2.3891310691833496,nan,nan,nan
33,-0.034514788538217545,0.642578125,0.642578125,0.002367631299421191,2.3885245323181152,nan,nan,nan
34,-0.03657142072916031,0.6318359375,0.6318359375,0.0024413808714598417,2.3876824378967285,nan,nan,nan
35,-0.038410503417253494,0.583984375,0.583984375,0.002158902119845152,2.3867619037628174,nan,nan,nan
36,-0.043543290346860886,0.59375,0.59375,0.002480040304362774,2.385885715484619,nan,nan,nan
37,-0.045907482504844666,0.651171863079071,0.651171863079071,0.0025507803075015545,2.384197473526001,nan,nan,nan
38,-0.04294668138027191,0.6669921875,0.6669921875,0.002196253277361393,2.382683277130127,nan,nan,nan
39,-0.0460166409611702,0.6103515625,0.6103515625,0.0024284091778099537,2.381350040435791,nan,nan,nan
40,-0.0442325584590435,0.6484375,0.6484375,0.002774651627987623,2.3809518814086914,nan,nan,nan
41,-0.051225077360868454,0.6162109375,0.6162109375,0.0024210612755268812,2.3780710697174072,nan,nan,nan
42,-0.03661482781171799,0.63671875,0.63671875,0.0024024483282119036,2.377809524536133,nan,nan,nan
43,-0.062157995998859406,0.6714843511581421,0.6714843511581421,0.002537767868489027,2.3735837936401367,nan,nan,nan
44,-0.04846613481640816,0.674609363079071,0.674609363079071,0.002611996838822961,2.373610496520996,nan,nan,nan
45,-0.0525038056075573,0.62890625,0.62890625,0.0021807332523167133,2.3697996139526367,nan,nan,nan
46,-0.05065956711769104,0.646484375,0.646484375,0.0028489253018051386,2.3690953254699707,nan,nan,nan
47,-0.0529780387878418,0.6591796875,0.6591796875,0.0026101323310285807,2.3650147914886475,nan,nan,nan
48,-0.049800850450992584,0.7294921875,0.7294921875,0.0022315154783427715,2.3588078022003174,nan,nan,nan
49,-0.06673243641853333,0.65234375,0.65234375,0.002599060069769621,2.3596978187561035,nan,nan,nan
50,-0.03740907087922096,0.6416015625,0.6416015625,0.002454558853060007,2.357032537460327,nan,nan,nan
51,-0.05757283419370651,0.6337890625,0.6337890625,0.0026479277294129133,2.348984479904175,nan,nan,nan
52,-0.05897855758666992,0.6103515625,0.6103515625,0.002755885012447834,2.347590923309326,nan,nan,nan
53,-0.06443905830383301,0.6103515625,0.6103515625,0.0023979737889021635,2.344825029373169,nan,nan,nan
54,-0.053996652364730835,0.6025390625,0.6025390625,0.002700559329241514,2.34285831451416,nan,nan,nan
55,-0.061277177184820175,0.6607421636581421,0.6607421636581421,0.002800574293360114,2.3401498794555664,nan,nan,nan
56,-0.07101301103830338,0.62890625,0.62890625,0.002833259291946888,2.334578037261963,nan,nan,nan
57,-0.049017950892448425,0.6923828125,0.6923828125,0.002537340624257922,2.3302035331726074,nan,nan,nan
58,-0.0582491010427475,0.6337890625,0.6337890625,0.002201322466135025,2.319387197494507,nan,nan,nan
59,-0.07017011940479279,0.658203125,0.658203125,0.0026759058237075806,2.3200557231903076,nan,nan,nan
60,-0.07431983947753906,0.642578125,0.642578125,0.002583826193585992,2.3186850547790527,nan,nan,nan
61,-0.06426216661930084,0.65234375,0.65234375,0.003048746380954981,2.3087687492370605,nan,nan,nan
62,-0.045296214520931244,0.7001953125,0.7001953125,0.002940287347882986,2.303292751312256,nan,nan,nan
63,-0.05768270790576935,0.656054675579071,0.656054675579071,0.0031759734265506268,2.2982757091522217,nan,nan,nan
64,-0.07444258034229279,0.6357421875,0.6357421875,0.0025896928273141384,2.2880513668060303,nan,nan,nan
65,-0.054241351783275604,0.6533203125,0.6533203125,0.0031717601232230663,2.2894415855407715,nan,nan,nan
66,-0.06025725603103638,0.6572265625,0.6572265625,0.002917973790317774,2.2808871269226074,nan,nan,nan
67,-0.07496287673711777,0.677734375,0.677734375,0.0028394865803420544,2.2811079025268555,nan,nan,nan
68,-0.07490094006061554,0.6617187261581421,0.6617187261581421,0.003070453181862831,2.2590692043304443,nan,nan,nan
69,-0.08821670711040497,0.67578125,0.67578125,0.0028176740743219852,2.2577662467956543,nan,nan,nan
70,-0.08096139132976532,0.6826171875,0.6826171875,0.0030527289491146803,2.246950626373291,nan,nan,nan
71,-0.07275416702032089,0.7197265625,0.7197265625,0.002896387130022049,2.2427477836608887,nan,nan,nan
72,-0.10887739062309265,0.68359375,0.68359375,0.003149906639009714,2.2301721572875977,nan,nan,nan
73,-0.09834714978933334,0.6669921875,0.6669921875,0.0028784305322915316,2.2239482402801514,nan,nan,nan
74,-0.090643972158432,0.6839843988418579,0.6839843988418579,0.002811635611578822,2.2102279663085938,nan,nan,nan
75,-0.08359406143426895,0.646484375,0.646484375,0.0034595434553921223,2.2006890773773193,nan,nan,nan
76,-0.1095721572637558,0.684374988079071,0.684374988079071,0.0031569572165608406,2.1930644512176514,nan,nan,nan
77,-0.0810122862458229,0.67578125,0.67578125,0.002993823727592826,2.176443099975586,nan,nan,nan
78,-0.07268111407756805,0.6595703363418579,0.6595703363418579,0.0032058614306151867,2.1709861755371094,nan,nan,nan
79,-0.09635762870311737,0.7164062261581421,0.7164062261581421,0.0030677898321300745,2.169602870941162,nan,nan,nan
80,-0.11444064974784851,0.6871093511581421,0.6871093511581421,0.00330147217027843,2.147223949432373,nan,nan,nan
81,-0.09199675917625427,0.7021484375,0.7021484375,0.002990663517266512,2.1345882415771484,nan,nan,nan
82,-0.0952664166688919,0.6533203125,0.6533203125,0.0033883657306432724,2.1293487548828125,nan,nan,nan
83,-0.0824747085571289,0.6767578125,0.6767578125,0.0033179218880832195,2.1018567085266113,nan,nan,nan
84,-0.13628578186035156,0.641406238079071,0.641406238079071,0.0035376965533941984,2.1110782623291016,nan,nan,nan
85,-0.08156752586364746,0.728515625,0.728515625,0.0034759335685521364,2.066805601119995,nan,nan,nan
86,-0.08726401627063751,0.6421874761581421,0.6421874761581421,0.003160568419843912,2.090445041656494,nan,nan,nan
87,-0.09441731870174408,0.67578125,0.67578125,0.004032687284052372,2.0569381713867188,nan,nan,nan
88,-0.10232134908437729,0.6884765625,0.6884765625,0.003898363094776869,2.016404151916504,nan,nan,nan
89,-0.1271313726902008,0.7470703125,0.7470703125,0.003732984885573387,2.015745162963867,nan,nan,nan
90,-0.08405780047178268,0.7158203125,0.7158203125,0.0031836088746786118,2.0128750801086426,nan,nan,nan
91,-0.15044048428535461,0.6884765625,0.6884765625,0.0034163515083491802,1.9771645069122314,nan,nan,nan
92,-0.11260458827018738,0.712890625,0.712890625,0.004289841279387474,1.9854415655136108,nan,nan,nan
93,-0.12766478955745697,0.667773425579071,0.667773425579071,0.003931326325982809,1.9559669494628906,nan,nan,nan
94,-0.10675470530986786,0.6751953363418579,0.6751953363418579,0.0034995528403669596,1.9386725425720215,nan,nan,nan
95,-0.09998263418674469,0.7216796875,0.7216796875,0.003766965586692095,1.9146497249603271,nan,nan,nan
96,-0.1260717511177063,0.724609375,0.724609375,0.0037419679574668407,1.8788986206054688,nan,nan,nan
97,-0.1069231703877449,0.6953125,0.6953125,0.0038467352278530598,1.8805618286132812,nan,nan,nan
98,-0.1270357072353363,0.7484375238418579,0.7484375238418579,0.004008312709629536,1.8466002941131592,nan,nan,nan
99,-0.07717186212539673,0.7294921875,0.7294921875,0.003795748110860586,1.8401293754577637,nan,nan,nan
100,-0.17075705528259277,0.701171875,0.701171875,0.00421448890119791,1.7862930297851562,nan,nan,nan
101,-0.09898510575294495,0.7451171875,0.7451171875,0.003959820605814457,1.7715797424316406,nan,nan,nan
102,-0.20424388349056244,0.6962890625,0.6962890625,0.004236831795424223,1.7458994388580322,nan,nan,nan
103,-0.11867092549800873,0.7255859375,0.7255859375,0.0045072101056575775,1.7306115627288818,nan,nan,nan
104,-0.09440495818853378,0.720703125,0.720703125,0.005050038918852806,1.7392115592956543,nan,nan,nan
105,-0.1428438425064087,0.71484375,0.71484375,0.0045997379347682,1.670888900756836,nan,nan,nan
106,-0.12243302911520004,0.7607421875,0.7607421875,0.004690481815487146,1.6093595027923584,nan,nan,nan
107,-0.15883973240852356,0.6865234375,0.6865234375,0.004414048045873642,1.644970178604126,nan,nan,nan
108,-0.08354668319225311,0.7734375,0.7734375,0.004794010892510414,1.6129779815673828,nan,nan,nan
109,-0.11399536579847336,0.7378906011581421,0.7378906011581421,0.004556233994662762,1.621776819229126,nan,nan,nan
110,-0.12411347776651382,0.7132812738418579,0.7132812738418579,0.004999535158276558,1.6172921657562256,nan,nan,nan
111,-0.14710688591003418,0.716796875,0.716796875,0.004777383059263229,1.534909963607788,nan,nan,nan
112,-0.09031452238559723,0.708984375,0.708984375,0.0046685487031936646,1.5420329570770264,nan,nan,nan
113,-0.10599812865257263,0.7353515625,0.7353515625,0.005199408158659935,1.4881627559661865,nan,nan,nan
114,-0.14294156432151794,0.7412109375,0.7412109375,0.005087665282189846,1.4715311527252197,nan,nan,nan
115,-0.11900696903467178,0.79296875,0.79296875,0.004921618849039078,1.480747938156128,nan,nan,nan
116,-0.10876923054456711,0.7191406488418579,0.7191406488418579,0.005176007281988859,1.4231250286102295,nan,nan,nan
117,-0.055765219032764435,0.75390625,0.75390625,0.005604414269328117,1.3597289323806763,nan,nan,nan
118,-0.1578960120677948,0.74609375,0.74609375,0.005358340218663216,1.3906590938568115,nan,nan,nan
119,-0.18440142273902893,0.740039050579071,0.740039050579071,0.0052382200956344604,1.397768259048462,nan,nan,nan
120,-0.1435961276292801,0.7705078125,0.7705078125,0.00547803845256567,1.3346660137176514,nan,nan,nan
121,-0.10976419597864151,0.7431640625,0.7431640625,0.005685960873961449,1.270188570022583,nan,nan,nan
