step,loss,mean_reward,mean_quality,mean_cost_usd,mean_w_q,mean_w_c,policy_entropy_nats,val_quality,val_cost_usd,val_action_entropy_bits
1,-0.11896616220474243,0.28895068168640137,0.6875,0.0018215811578556895,0.5208770036697388,0.4791230261325836,2.3951902389526367,nan,nan,nan
2,-0.12298908084630966,0.17575296759605408,0.6796875,0.0035858154296875,0.5089741945266724,0.49102580547332764,2.3950765132904053,nan,nan,nan
3,-0.12427838146686554,0.1527523398399353,0.6328125,0.0022385187912732363,0.42300301790237427,0.5769969820976257,2.3951001167297363,nan,nan,nan
4,-0.13141034543514252,0.07981637120246887,0.4765625,0.0028650998137891293,0.44724926352500916,0.5527507662773132,2.3946707248687744,nan,nan,nan
5,-0.12338417768478394,0.13627365231513977,0.6171875,0.002245950046926737,0.4958687722682953,0.5041311979293823,2.3937504291534424,nan,nan,nan
6,-0.1363789588212967,0.05051543936133385,0.5703125,0.0031288531608879566,0.41314226388931274,0.5868577361106873,2.3932271003723145,nan,nan,nan
7,-0.12606067955493927,0.2854863107204437,0.65625,0.0014052250189706683,0.5183007717132568,0.4816991984844208,2.392143487930298,nan,nan,nan
8,-0.13635151088237762,0.17150193452835083,0.6015625,0.003439890453591943,0.5594099164009094,0.44059014320373535,2.3909363746643066,nan,nan,nan
9,-0.1175588071346283,0.15253980457782745,0.484375,0.0014330125413835049,0.4789799153804779,0.5210200548171997,2.3898422718048096,nan,nan,nan
10,-0.13755527138710022,0.13021521270275116,0.6015625,0.002183231059461832,0.47345706820487976,0.5265429019927979,2.3888180255889893,nan,nan,nan
11,-0.13013112545013428,0.19237279891967773,0.5625,0.0021882501896470785,0.5377146601676941,0.4622853398323059,2.3874852657318115,nan,nan,nan
12,-0.13796889781951904,0.28178444504737854,0.7109375,0.002258334308862686,0.5303187370300293,0.4696812927722931,2.386449098587036,nan,nan,nan
13,-0.11743529140949249,0.2063378095626831,0.59375,0.0012861780123785138,0.5226019620895386,0.4773980379104614,2.3852739334106445,nan,nan,nan
14,-0.137801855802536,0.07348673045635223,0.4921875,0.002277543768286705,0.516553521156311,0.48344647884368896,2.3841073513031006,nan,nan,nan
15,-0.13139405846595764,0.35745853185653687,0.65625,0.0011468844022601843,0.6058375835418701,0.3941624164581299,2.382850170135498,nan,nan,nan
16,-0.1611701399087906,0.20721043646335602,0.59375,0.0015516531420871615,0.5151779651641846,0.48482197523117065,2.3815813064575195,nan,nan,nan
17,-0.11618313193321228,0.25216612219810486,0.6328125,0.0014478405937552452,0.48616844415664673,0.5138315558433533,2.379918336868286,nan,nan,nan
18,-0.14434713125228882,0.09205543994903564,0.4921875,0.0018849156331270933,0.4430893659591675,0.5569106340408325,2.3784091472625732,nan,nan,nan
19,-0.11601622402667999,0.2276597023010254,0.6171875,0.002186478115618229,0.48327845335006714,0.5167215466499329,2.3764991760253906,nan,nan,nan
20,-0.11732428520917892,0.16651305556297302,0.59375,0.0012045248877257109,0.4227869212627411,0.5772130489349365,2.3751463890075684,nan,nan,nan
21,-0.15215641260147095,0.2153528332710266,0.65625,0.0013666781596839428,0.5227893590927124,0.4772106111049652,2.37343692779541,nan,nan,nan
22,-0.12129291892051697,0.13590066134929657,0.3984375,0.0014066561125218868,0.5454275608062744,0.4545724391937256,2.371981143951416,nan,nan,nan
23,-0.1273895800113678,0.16252660751342773,0.4765625,0.0015287311980500817,0.5080479383468628,0.4919520616531372,2.3703579902648926,nan,nan,nan
24,-0.12733331322669983,0.2663908004760742,0.6015625,0.0010186780709773302,0.5241107940673828,0.4758891761302948,2.368896484375,nan,nan,nan
25,-0.13587313890457153,0.21457408368587494,0.6171875,0.0018983875634148717,0.5001375079154968,0.4998624920845032,2.3674678802490234,nan,nan,nan
26,-0.13388562202453613,0.2665249705314636,0.5546875,0.0013104812242090702,0.581906795501709,0.4180932641029358,2.3660154342651367,nan,nan,nan
