step,loss,mean_reward,mean_quality,mean_cost_usd,policy_entropy_nats,val_quality,val_cost_usd,val_action_entropy_bits
1,-0.022832,0.613281,0.613281,0.002611,2.397199,nan,nan,nan
2,-0.024305,0.587891,0.587891,0.002190,2.397233,nan,nan,nan
3,-0.022881,0.577148,0.577148,0.002371,2.397232,nan,nan,nan
4,-0.025051,0.649414,0.649414,0.002921,2.397244,nan,nan,nan
5,-0.025242,0.575195,0.575195,0.002227,2.397234,nan,nan,nan
6,-0.025889,0.589453,0.589453,0.002107,2.397211,nan,nan,nan
7,-0.024911,0.596680,0.596680,0.002374,2.397184,nan,nan,nan
8,-0.025221,0.602148,0.602148,0.002228,2.397146,nan,nan,nan
9,-0.026075,0.610156,0.610156,0.001908,2.397114,nan,nan,nan
10,-0.025817,0.641211,0.641211,0.002181,2.397043,nan,nan,nan
11,-0.026659,0.623047,0.623047,0.002847,2.396991,nan,nan,nan
12,-0.027813,0.621094,0.621094,0.002108,2.396888,nan,nan,nan
13,-0.026658,0.635742,0.635742,0.002192,2.396777,nan,nan,nan
14,-0.025689,0.600586,0.600586,0.002295,2.396659,nan,nan,nan
15,-0.027304,0.611328,0.611328,0.002253,2.396587,nan,nan,nan
16,-0.028937,0.625000,0.625000,0.002288,2.396436,nan,nan,nan
17,-0.029950,0.625977,0.625977,0.002156,2.396256,nan,nan,nan
18,-0.030385,0.642578,0.642578,0.002422,2.396085,nan,nan,nan
19,-0.027746,0.610156,0.610156,0.002505,2.395851,nan,nan,nan
20,-0.034458,0.570703,0.570703,0.002211,2.395710,nan,nan,nan
21,-0.033903,0.603516,0.603516,0.002878,2.395499,nan,nan,nan
22,-0.028117,0.585938,0.585938,0.002171,2.394965,nan,nan,nan
23,-0.033518,0.602344,0.602344,0.002571,2.394682,nan,nan,nan
24,-0.033431,0.626953,0.626953,0.002607,2.394201,nan,nan,nan
25,-0.037047,0.623828,0.623828,0.002511,2.393687,nan,nan,nan
26,-0.033802,0.643555,0.643555,0.002581,2.393278,nan,nan,nan
27,-0.035247,0.626367,0.626367,0.002617,2.392850,nan,nan,nan
28,-0.038468,0.628906,0.628906,0.002164,2.392765,nan,nan,nan
29,-0.035742,0.631836,0.631836,0.002993,2.391559,nan,nan,nan
30,-0.032029,0.627930,0.627930,0.002288,2.391057,nan,nan,nan
31,-0.039868,0.649023,0.649023,0.002670,2.389931,nan,nan,nan
32,-0.036050,0.613281,0.613281,0.002523,2.389131,nan,nan,nan
33,-0.034515,0.642578,0.642578,0.002368,2.388525,nan,nan,nan
34,-0.036571,0.631836,0.631836,0.002441,2.387682,nan,nan,nan
35,-0.038411,0.583984,0.583984,0.002159,2.386762,nan,nan,nan
36,-0.043543,0.593750,0.593750,0.002480,2.385886,nan,nan,nan
37,-0.045907,0.651172,0.651172,0.002551,2.384197,nan,nan,nan
38,-0.042947,0.666992,0.666992,0.002196,2.382683,nan,nan,nan
39,-0.046017,0.610352,0.610352,0.002428,2.381350,nan,nan,nan
40,-0.044233,0.648438,0.648438,0.002775,2.380952,nan,nan,nan
41,-0.051225,0.616211,0.616211,0.002421,2.378071,nan,nan,nan
