step,loss,mean_reward,mean_quality,mean_cost_usd,mean_w_q,mean_w_c,policy_entropy_nats,val_quality,val_cost_usd,val_action_entropy_bits
1,-0.03209717571735382,0.16669489443302155,0.6484375,0.0013981375377625227,0.4214997887611389,0.5785002708435059,2.395237922668457,nan,nan,nan
2,-0.03520260751247406,0.1385250687599182,0.65625,0.001975265797227621,0.4015348553657532,0.5984651446342468,2.390535593032837,nan,nan,nan
3,-0.01278516836464405,0.23533493280410767,0.4921875,0.001544237369671464,0.5795034170150757,0.4204966425895691,2.3838343620300293,nan,nan,nan
4,-0.057132769376039505,0.19101330637931824,0.546875,0.002027062466368079,0.4883590340614319,0.5116409659385681,2.3803768157958984,nan,nan,nan
5,-0.036269284784793854,0.23653678596019745,0.546875,0.002192143816500902,0.5744666457176208,0.42553335428237915,2.374180555343628,nan,nan,nan
6,-0.02386361174285412,0.119020476937294,0.5703125,0.002253409242257476,0.44174009561538696,0.558259904384613,2.368439197540283,nan,nan,nan
7,-0.05473783612251282,0.13041073083877563,0.5625,0.0018739125225692987,0.4918055832386017,0.5081944465637207,2.362868309020996,nan,nan,nan
8,-0.0655394047498703,0.06124592199921608,0.515625,0.0030924309976398945,0.4528082013130188,0.547191858291626,2.3556156158447266,nan,nan,nan
9,-0.04959312081336975,0.1999233365058899,0.6484375,0.002042081207036972,0.44187161326408386,0.5581283569335938,2.346531867980957,nan,nan,nan
10,-0.033996425569057465,0.3266623020172119,0.7421875,0.0016551656881347299,0.5320349335670471,0.4679650664329529,2.3381175994873047,nan,nan,nan
11,-0.09273688495159149,0.2237570583820343,0.5859375,0.002074034418910742,0.5531436204910278,0.44685643911361694,2.328789234161377,nan,nan,nan
12,-0.025970323011279106,0.2359316647052765,0.515625,0.0013518938794732094,0.5306034684181213,0.46939653158187866,2.3155007362365723,nan,nan,nan
13,-0.040315642952919006,0.2606823146343231,0.6015625,0.0011189061915501952,0.557201087474823,0.442798912525177,2.303511142730713,nan,nan,nan
14,-0.035516537725925446,0.09424323588609695,0.40625,0.0005323062650859356,0.35709846019744873,0.6429015398025513,2.2874155044555664,nan,nan,nan
15,-0.03623514622449875,0.2845975160598755,0.703125,0.0008868812583386898,0.5209496021270752,0.4790503978729248,2.276848793029785,nan,nan,nan
16,-0.10784958302974701,0.18017657101154327,0.625,0.0015100344317033887,0.46983587741851807,0.5301641225814819,2.2622551918029785,nan,nan,nan
17,-0.0563688725233078,0.2586161494255066,0.625,0.0007784093613736331,0.4849652647972107,0.5150347352027893,2.2461533546447754,nan,nan,nan
18,-0.04372739419341087,0.1010744646191597,0.3125,0.0008057969389483333,0.5119870901107788,0.4880129396915436,2.228931427001953,nan,nan,nan
19,-0.033649325370788574,0.2771962881088257,0.6171875,0.001463068649172783,0.5540895462036133,0.4459104537963867,2.2120916843414307,nan,nan,nan
20,-0.03920863941311836,0.292569637298584,0.671875,0.0006057968712411821,0.5048576593399048,0.4951423704624176,2.1929965019226074,nan,nan,nan
21,-0.005172634497284889,0.27224811911582947,0.609375,0.0008064405992627144,0.4888017177581787,0.5111982822418213,2.1750168800354004,nan,nan,nan
22,-0.010206896811723709,0.19971874356269836,0.515625,0.0014471031026914716,0.5277203917503357,0.4722796380519867,2.1600518226623535,nan,nan,nan
23,-0.0791785791516304,0.23820257186889648,0.5234375,0.0006667468696832657,0.5704283714294434,0.42957162857055664,2.1488139629364014,nan,nan,nan
24,-0.05195792764425278,0.26176056265830994,0.640625,0.0011568249901756644,0.46767181158065796,0.532328188419342,2.1310672760009766,nan,nan,nan
25,0.020638208836317062,0.22807057201862335,0.5703125,0.0016203687991946936,0.5397722721099854,0.4602277874946594,2.1182961463928223,nan,nan,nan
26,-0.043848246335983276,0.35297098755836487,0.625,0.0005387781420722604,0.5688327550888062,0.4311673045158386,2.1107592582702637,nan,nan,nan
27,-0.08027771860361099,0.2132168412208557,0.546875,0.0007322750170715153,0.5454843640327454,0.45451563596725464,2.0958924293518066,nan,nan,nan
28,-0.011451512575149536,0.22840560972690582,0.5859375,0.0007761125452816486,0.512732982635498,0.48726701736450195,2.0794358253479004,nan,nan,nan
29,-0.014724092558026314,0.17953020334243774,0.5,0.0008157468400895596,0.483268141746521,0.516731858253479,2.0651094913482666,nan,nan,nan
30,-0.014796203933656216,0.18053723871707916,0.4609375,0.0008738875039853156,0.5163224935531616,0.4836774468421936,2.0562777519226074,nan,nan,nan
31,-0.12610632181167603,0.3034641146659851,0.59375,0.0013137593632563949,0.5632163286209106,0.43678364157676697,2.0444869995117188,nan,nan,nan
32,0.027154378592967987,0.26505041122436523,0.6328125,0.000704578123986721,0.49776628613471985,0.5022337436676025,2.0218846797943115,nan,nan,nan
33,-0.04302731156349182,0.16192133724689484,0.59375,0.0005630656378343701,0.433088093996048,0.5669118762016296,2.007687568664551,nan,nan,nan
34,0.0035356152802705765,0.22942593693733215,0.578125,0.0005794999888166785,0.4699990153312683,0.5300010442733765,1.995041847229004,nan,nan,nan
35,-0.077468141913414,0.2403133511543274,0.46875,0.0009472157107666135,0.5875797271728516,0.41242027282714844,1.9873476028442383,nan,nan,nan
36,-0.11681688576936722,0.2444167286157608,0.5625,0.0009988875826820731,0.5081148147583008,0.4918852150440216,1.966570258140564,nan,nan,nan
37,-0.14768628776073456,0.29201483726501465,0.671875,0.0013273281510919333,0.4987787902355194,0.5012211799621582,1.9434441328048706,nan,nan,nan
38,-0.0030858926475048065,0.20683690905570984,0.5390625,0.0009044562466442585,0.45418062806129456,0.5458194017410278,1.9126863479614258,nan,nan,nan
39,-0.04224366694688797,0.18282367289066315,0.53125,0.0005169812357053161,0.44233858585357666,0.5576614141464233,1.8795340061187744,nan,nan,nan
40,-0.020988566800951958,0.23462702333927155,0.5859375,0.0005412750178948045,0.4298962652683258,0.5701037645339966,1.8421566486358643,nan,nan,nan
41,-0.06321192532777786,0.2194155752658844,0.625,0.0004273874801583588,0.45234572887420654,0.5476542711257935,1.8074474334716797,nan,nan,nan
42,0.07006227970123291,0.20054081082344055,0.5390625,0.00048389998846687376,0.479084312915802,0.520915687084198,1.758763074874878,nan,nan,nan
43,-0.014653579331934452,0.23105573654174805,0.59375,0.00047786248615011573,0.4577711522579193,0.5422288179397583,1.722631812095642,nan,nan,nan
44,0.07634453475475311,0.2113991230726242,0.578125,0.0004850749974139035,0.4207909107208252,0.5792090892791748,1.6835529804229736,nan,nan,nan
45,-0.11610353738069534,0.3209337592124939,0.606249988079071,0.0005391906597651541,0.559028685092926,0.440971314907074,1.6965875625610352,nan,nan,nan
46,-0.05666647106409073,0.2068638950586319,0.546875,0.0005546655738726258,0.4189113676548004,0.581088662147522,1.6450831890106201,nan,nan,nan
47,-0.2105112224817276,0.29388195276260376,0.5546875,0.0005961875431239605,0.5855247378349304,0.41447529196739197,1.6280639171600342,nan,nan,nan
48,-0.031150253489613533,0.28424376249313354,0.625,0.000524681294336915,0.4932444095611572,0.5067555904388428,1.5361281633377075,nan,nan,nan
49,-0.09831415116786957,0.31745707988739014,0.6484375,0.000595962512306869,0.5252903699874878,0.4747096300125122,1.4693052768707275,nan,nan,nan
50,5.9604644775390625e-05,0.34673911333084106,0.640625,0.0004371468676254153,0.5739822387695312,0.42601773142814636,1.3906199932098389,nan,nan,nan
51,-0.03833606094121933,0.25227296352386475,0.5625,0.0005000156234018505,0.5136430263519287,0.4863570034503937,1.3148167133331299,nan,nan,nan
52,0.05778059363365173,0.22959940135478973,0.53125,0.0006626187241636217,0.48473262786865234,0.5152673721313477,1.2372441291809082,nan,nan,nan
53,-0.1057712510228157,0.32773488759994507,0.6171875,0.0005714031285606325,0.600085973739624,0.39991408586502075,1.21481192111969,nan,nan,nan
54,-0.03079766221344471,0.252338707447052,0.59375,0.00046919999294914305,0.49268990755081177,0.5073100328445435,1.1456178426742554,nan,nan,nan
55,-0.07175950706005096,0.3378923237323761,0.6796875,0.0003993062418885529,0.5296549797058105,0.47034502029418945,1.108069896697998,nan,nan,nan
56,0.06062353029847145,0.31466639041900635,0.7734375,0.00046722189290449023,0.4537253975868225,0.5462745428085327,1.0368366241455078,nan,nan,nan
57,-0.05269435793161392,0.2352151870727539,0.5625,0.0003763000131584704,0.47404834628105164,0.525951623916626,1.005397081375122,nan,nan,nan
58,0.09261076152324677,0.2046183943748474,0.5703125,0.0005156124825589359,0.42558974027633667,0.5744103193283081,0.9561158418655396,nan,nan,nan
59,0.054149240255355835,0.4085119366645813,0.6484375,0.00043671875027939677,0.6691324710845947,0.3308675289154053,0.9914575815200806,nan,nan,nan
60,0.037624090909957886,0.21851679682731628,0.5234375,0.0005341374780982733,0.5036194324493408,0.4963805675506592,0.9606413841247559,nan,nan,nan
61,0.010125158354640007,0.2538474202156067,0.590624988079071,0.00041904064710251987,0.475005567073822,0.524994432926178,0.9711565971374512,nan,nan,nan
62,0.04642780125141144,0.2301521897315979,0.53125,0.00046233751345425844,0.523720383644104,0.476279616355896,0.9967232346534729,nan,nan,nan
63,-0.18529479205608368,0.25872236490249634,0.5328124761581421,0.00047456560423597693,0.5305122137069702,0.4694878160953522,1.029052734375,nan,nan,nan
64,-0.031324803829193115,0.2649495303630829,0.625,0.000379215634893626,0.46546775102615356,0.5345322489738464,0.9987664222717285,nan,nan,nan
65,-0.06112315505743027,0.2780689299106598,0.640625,0.00044788437662646174,0.49752116203308105,0.502478837966919,0.9954191446304321,nan,nan,nan
66,0.03171003237366676,0.32605910301208496,0.640625,0.0004050031420774758,0.5806664824485779,0.4193335175514221,0.9899083971977234,nan,nan,nan
