step,loss,mean_reward,mean_quality,mean_cost_usd,mean_w_q,mean_w_c,policy_entropy_nats,val_quality,val_cost_usd,val_action_entropy_bits
1,-0.12390504032373428,0.14954012632369995,0.6640625,0.0019253530772402883,0.4214997887611389,0.5785002708435059,2.395214557647705,nan,nan,nan
2,-0.12842875719070435,0.12535852193832397,0.7265625,0.0020200000144541264,0.4015348553657532,0.5984651446342468,2.3945159912109375,nan,nan,nan
3,-0.1212945356965065,0.2082565724849701,0.5390625,0.00184313440695405,0.5795034170150757,0.4204966425895691,2.393397092819214,nan,nan,nan
4,-0.1268717348575592,0.24558311700820923,0.6796875,0.0018439467530697584,0.4883590340614319,0.5116409659385681,2.39243483543396,nan,nan,nan
5,-0.13443061709403992,0.26936075091362,0.6640625,0.002070462564006448,0.5744666457176208,0.42553335428237915,2.39103627204895,nan,nan,nan
6,-0.12161210179328918,0.10723273456096649,0.5546875,0.002442228142172098,0.44174009561538696,0.558259904384613,2.3900487422943115,nan,nan,nan
7,-0.13129206001758575,0.11879365146160126,0.59375,0.003051062347367406,0.4918055832386017,0.5081944465637207,2.3886373043060303,nan,nan,nan
8,-0.1470840722322464,0.026112563908100128,0.5625,0.002674087416380644,0.4528082013130188,0.547191858291626,2.387629985809326,nan,nan,nan
9,-0.1273660510778427,0.12263775616884232,0.625,0.0020499061793088913,0.44187161326408386,0.5581283569335938,2.386198043823242,nan,nan,nan
10,-0.11913430690765381,0.30233946442604065,0.625,0.0009186281240545213,0.5320349335670471,0.4679650664329529,2.3845157623291016,nan,nan,nan
11,-0.11883464455604553,0.15644405782222748,0.578125,0.002578428015112877,0.5531436204910278,0.44685643911361694,2.3832716941833496,nan,nan,nan
12,-0.11838861554861069,0.2646130919456482,0.59375,0.001914421794936061,0.5306034684181213,0.46939653158187866,2.3824052810668945,nan,nan,nan
13,-0.11586225032806396,0.27794545888900757,0.640625,0.001611500047147274,0.557201087474823,0.442798912525177,2.381326675415039,nan,nan,nan
14,-0.13797594606876373,0.11493926495313644,0.5546875,0.001840453129261732,0.35709846019744873,0.6429015398025513,2.3807578086853027,nan,nan,nan
